tas,Year,Month,Country, C, ISO3, ISO2
24.1947,1901,1,CAF,,,
26.0657,1901,2,CAF,,,
26.9181,1901,3,CAF,,,
26.7826,1901,4,CAF,,,
25.9309,1901,5,CAF,,,
24.6893,1901,6,CAF,,,
23.8519,1901,7,CAF,,,
23.7347,1901,8,CAF,,,
23.9271,1901,9,CAF,,,
24.3569,1901,10,CAF,,,
24.3022,1901,11,CAF,,,
23.6764,1901,12,CAF,,,
24.1768,1902,1,CAF,,,
26.0009,1902,2,CAF,,,
26.9461,1902,3,CAF,,,
26.7562,1902,4,CAF,,,
25.9361,1902,5,CAF,,,
24.7053,1902,6,CAF,,,
23.8197,1902,7,CAF,,,
23.7774,1902,8,CAF,,,
23.9084,1902,9,CAF,,,
24.3211,1902,10,CAF,,,
24.2671,1902,11,CAF,,,
23.619,1902,12,CAF,,,
24.1973,1903,1,CAF,,,
25.9758,1903,2,CAF,,,
26.9192,1903,3,CAF,,,
26.7789,1903,4,CAF,,,
25.8818,1903,5,CAF,,,
24.6325,1903,6,CAF,,,
23.8388,1903,7,CAF,,,
23.7589,1903,8,CAF,,,
23.8917,1903,9,CAF,,,
24.3289,1903,10,CAF,,,
24.3026,1903,11,CAF,,,
23.6907,1903,12,CAF,,,
24.2247,1904,1,CAF,,,
25.9725,1904,2,CAF,,,
26.8822,1904,3,CAF,,,
26.7334,1904,4,CAF,,,
25.869,1904,5,CAF,,,
24.6836,1904,6,CAF,,,
23.831,1904,7,CAF,,,
23.6879,1904,8,CAF,,,
23.9093,1904,9,CAF,,,
24.335,1904,10,CAF,,,
24.2807,1904,11,CAF,,,
23.6341,1904,12,CAF,,,
24.2546,1905,1,CAF,,,
26.0388,1905,2,CAF,,,
26.9909,1905,3,CAF,,,
26.8333,1905,4,CAF,,,
25.9392,1905,5,CAF,,,
24.6748,1905,6,CAF,,,
23.8433,1905,7,CAF,,,
23.7747,1905,8,CAF,,,
23.915,1905,9,CAF,,,
24.339,1905,10,CAF,,,
24.3104,1905,11,CAF,,,
23.6513,1905,12,CAF,,,
24.1957,1906,1,CAF,,,
26.0495,1906,2,CAF,,,
27.0001,1906,3,CAF,,,
26.8617,1906,4,CAF,,,
25.9119,1906,5,CAF,,,
24.7032,1906,6,CAF,,,
23.8348,1906,7,CAF,,,
23.7162,1906,8,CAF,,,
23.9047,1906,9,CAF,,,
24.339,1906,10,CAF,,,
24.2913,1906,11,CAF,,,
23.6824,1906,12,CAF,,,
24.193,1907,1,CAF,,,
26.0583,1907,2,CAF,,,
26.9774,1907,3,CAF,,,
26.8071,1907,4,CAF,,,
25.908,1907,5,CAF,,,
24.6865,1907,6,CAF,,,
23.8197,1907,7,CAF,,,
23.7524,1907,8,CAF,,,
23.9084,1907,9,CAF,,,
24.3456,1907,10,CAF,,,
24.2668,1907,11,CAF,,,
23.6337,1907,12,CAF,,,
24.1551,1908,1,CAF,,,
25.954,1908,2,CAF,,,
26.9747,1908,3,CAF,,,
26.8082,1908,4,CAF,,,
25.908,1908,5,CAF,,,
24.5792,1908,6,CAF,,,
23.8013,1908,7,CAF,,,
23.603,1908,8,CAF,,,
23.9084,1908,9,CAF,,,
24.339,1908,10,CAF,,,
24.2796,1908,11,CAF,,,
23.6567,1908,12,CAF,,,
24.2096,1909,1,CAF,,,
26.0669,1909,2,CAF,,,
27.0141,1909,3,CAF,,,
26.8528,1909,4,CAF,,,
25.9247,1909,5,CAF,,,
24.7943,1909,6,CAF,,,
23.8132,1909,7,CAF,,,
23.8518,1909,8,CAF,,,
23.8893,1909,9,CAF,,,
24.3456,1909,10,CAF,,,
24.3106,1909,11,CAF,,,
23.659,1909,12,CAF,,,
24.013,1910,1,CAF,,,
26.0414,1910,2,CAF,,,
26.4833,1910,3,CAF,,,
26.6436,1910,4,CAF,,,
25.8823,1910,5,CAF,,,
24.7857,1910,6,CAF,,,
23.6872,1910,7,CAF,,,
23.681,1910,8,CAF,,,
23.8045,1910,9,CAF,,,
24.2131,1910,10,CAF,,,
24.1224,1910,11,CAF,,,
23.3961,1910,12,CAF,,,
24.3563,1911,1,CAF,,,
25.7934,1911,2,CAF,,,
26.7757,1911,3,CAF,,,
26.6074,1911,4,CAF,,,
25.6638,1911,5,CAF,,,
24.7442,1911,6,CAF,,,
23.9237,1911,7,CAF,,,
23.7034,1911,8,CAF,,,
23.8812,1911,9,CAF,,,
24.2789,1911,10,CAF,,,
24.2114,1911,11,CAF,,,
23.4172,1911,12,CAF,,,
24.0255,1912,1,CAF,,,
25.9413,1912,2,CAF,,,
26.7997,1912,3,CAF,,,
26.5959,1912,4,CAF,,,
25.8875,1912,5,CAF,,,
24.8044,1912,6,CAF,,,
23.8469,1912,7,CAF,,,
23.7547,1912,8,CAF,,,
23.8812,1912,9,CAF,,,
24.1882,1912,10,CAF,,,
24.2406,1912,11,CAF,,,
23.4172,1912,12,CAF,,,
24.014,1913,1,CAF,,,
25.8366,1913,2,CAF,,,
26.378,1913,3,CAF,,,
26.6005,1913,4,CAF,,,
25.7325,1913,5,CAF,,,
24.5576,1913,6,CAF,,,
23.9771,1913,7,CAF,,,
23.8083,1913,8,CAF,,,
24.0123,1913,9,CAF,,,
24.2522,1913,10,CAF,,,
23.9184,1913,11,CAF,,,
23.3584,1913,12,CAF,,,
24.4604,1914,1,CAF,,,
26.0343,1914,2,CAF,,,
26.9944,1914,3,CAF,,,
26.6286,1914,4,CAF,,,
25.8025,1914,5,CAF,,,
24.7929,1914,6,CAF,,,
23.8704,1914,7,CAF,,,
23.7162,1914,8,CAF,,,
23.9084,1914,9,CAF,,,
24.3362,1914,10,CAF,,,
24.3301,1914,11,CAF,,,
23.6579,1914,12,CAF,,,
24.3285,1915,1,CAF,,,
26.0847,1915,2,CAF,,,
26.8597,1915,3,CAF,,,
26.6382,1915,4,CAF,,,
25.8058,1915,5,CAF,,,
24.6598,1915,6,CAF,,,
23.8997,1915,7,CAF,,,
23.7162,1915,8,CAF,,,
23.9084,1915,9,CAF,,,
24.3067,1915,10,CAF,,,
24.3301,1915,11,CAF,,,
23.5254,1915,12,CAF,,,
23.7289,1916,1,CAF,,,
25.9542,1916,2,CAF,,,
26.7569,1916,3,CAF,,,
26.7404,1916,4,CAF,,,
25.684,1916,5,CAF,,,
24.5662,1916,6,CAF,,,
23.7263,1916,7,CAF,,,
23.6363,1916,8,CAF,,,
23.7759,1916,9,CAF,,,
24.0059,1916,10,CAF,,,
24.2114,1916,11,CAF,,,
23.4172,1916,12,CAF,,,
24.0771,1917,1,CAF,,,
25.9835,1917,2,CAF,,,
26.6656,1917,3,CAF,,,
26.4674,1917,4,CAF,,,
25.8872,1917,5,CAF,,,
24.5542,1917,6,CAF,,,
23.8864,1917,7,CAF,,,
