tas,	Year, Month, Country, ISO3, ISO2
-8.6729,1901,1,CHN,,
-6.4365,1901,2,CHN,,
0.65235,1901,3,CHN,,
7.55051,1901,4,CHN,,
12.7269,1901,5,CHN,,
16.8987,1901,6,CHN,,
19.31,1901,7,CHN,,
18.4518,1901,8,CHN,,
13.9814,1901,9,CHN,,
6.87255,1901,10,CHN,,
-0.2123,1901,11,CHN,,
-7.3237,1901,12,CHN,,
-7.9765,1902,1,CHN,,
-5.6188,1902,2,CHN,,
0.845,1902,3,CHN,,
6.81054,1902,4,CHN,,
12.5724,1902,5,CHN,,
16.7761,1902,6,CHN,,
18.8765,1902,7,CHN,,
17.8276,1902,8,CHN,,
14.0859,1902,9,CHN,,
7.37242,1902,10,CHN,,
-0.4219,1902,11,CHN,,
-6.5331,1902,12,CHN,,
-8.5214,1903,1,CHN,,
-5.4184,1903,2,CHN,,
-0.0522,1903,3,CHN,,
7.19569,1903,4,CHN,,
12.4672,1903,5,CHN,,
16.7294,1903,6,CHN,,
19.0683,1903,7,CHN,,
18.1561,1903,8,CHN,,
13.9319,1903,9,CHN,,
6.85982,1903,10,CHN,,
-1.0896,1903,11,CHN,,
-7.3812,1903,12,CHN,,
-9.1682,1904,1,CHN,,
-5.6676,1904,2,CHN,,
-0.5744,1904,3,CHN,,
7.1091,1904,4,CHN,,
12.6099,1904,5,CHN,,
17.049,1904,6,CHN,,
18.8973,1904,7,CHN,,
18.2957,1904,8,CHN,,
13.8477,1904,9,CHN,,
6.66483,1904,10,CHN,,
-0.4451,1904,11,CHN,,
-6.5448,1904,12,CHN,,
-7.4643,1905,1,CHN,,
-6.9613,1905,2,CHN,,
-1.3929,1905,3,CHN,,
5.83789,1905,4,CHN,,
12.3659,1905,5,CHN,,
17.1025,1905,6,CHN,,
19.2392,1905,7,CHN,,
17.9962,1905,8,CHN,,
13.7901,1905,9,CHN,,
7.29501,1905,10,CHN,,
-0.7397,1905,11,CHN,,
-6.6007,1905,12,CHN,,
-9.4677,1906,1,CHN,,
-7.6866,1906,2,CHN,,
-0.0949,1906,3,CHN,,
7.45592,1906,4,CHN,,
12.7529,1906,5,CHN,,
17.0261,1906,6,CHN,,
19.2708,1906,7,CHN,,
18.3371,1906,8,CHN,,
14.0028,1906,9,CHN,,
7.47836,1906,10,CHN,,
-1.7707,1906,11,CHN,,
-5.809,1906,12,CHN,,
-7.6719,1907,1,CHN,,
-7.0033,1907,2,CHN,,
-0.5376,1907,3,CHN,,
7.18896,1907,4,CHN,,
12.6865,1907,5,CHN,,
16.5715,1907,6,CHN,,
18.8314,1907,7,CHN,,
18.6475,1907,8,CHN,,
13.8103,1907,9,CHN,,
7.5898,1907,10,CHN,,
-1.1347,1907,11,CHN,,
-7.0217,1907,12,CHN,,
-8.9622,1908,1,CHN,,
-6.5309,1908,2,CHN,,
-0.6512,1908,3,CHN,,
7.14655,1908,4,CHN,,
12.7751,1908,5,CHN,,
17.2112,1908,6,CHN,,
19.195,1908,7,CHN,,
18.6299,1908,8,CHN,,
13.9766,1908,9,CHN,,
